Model,Accuracy,F1,Precision,Recall
rf,0.7586621392190153,0.7113492257817777,0.7246074142171204,0.7035184698416859
nb,0.7635170722505188,0.7344378314953067,0.7308927399624456,0.7390149867695939
svm,0.7541543105074514,0.7331995999977932,0.7272928336093516,0.7488228615984395
log_reg,0.7503572910771552,0.7293366195885194,0.7236072515379035,0.7451168701235874
catboost,0.7733438973778533,0.755430955987925,0.7489255888467892,0.7746587838546874
bert,0.8342539143557819,0.8249090390663916,0.8188604074034824,0.86034424193029
