,Model,Accuracy,F1,Precision,Recall
0,rf,0.7586621392190153,0.8282120046901126,0.7993600789636846,0.8592246697017146
1,nb,0.7635170722505188,0.8223147126041863,0.836930981474728,0.8082002017173839
2,svm,0.7541543105074514,0.8079707518272741,0.8574668671608966,0.7638769858296324
3,log_reg,0.7503572910771552,0.8047655663108051,0.855243716746229,0.7599139636351478
4,catboost,0.7600030182984343,0.8118906744956838,0.8649857783591617,0.7649368379406996
5,bert,0.8342539143557819,0.8653590476476527,0.9615334319550808,0.78667439359408
