,precision,recall,f1-score,support
0,0.5919707863295781,0.730319776612027,0.6539076728662335,427955.0
1,0.855243716746229,0.7599139636351478,0.8047655663108051,897295.0
accuracy,0.7503572910771552,0.7503572910771552,0.7503572910771552,0.7503572910771552
macro avg,0.7236072515379035,0.7451168701235874,0.7293366195885194,1325250.0
weighted avg,0.7702265751227936,0.7503572910771552,0.7560499354569499,1325250.0
