,precision,recall,f1-score,support
0,0.6498547494705563,0.547812269981657,0.5944864468734429,427955.0
1,0.7993600789636846,0.8592246697017146,0.8282120046901126,897295.0
accuracy,0.7586621392190153,0.7586621392190153,0.7586621392190153,0.7586621392190153
macro avg,0.7246074142171204,0.7035184698416859,0.7113492257817777,1325250.0
weighted avg,0.7510812234396462,0.7586621392190153,0.7527364181249868,1325250.0
