,precision,recall,f1-score,support
0,0.6761873828518842,0.9340140902665,0.7844590304851303,427955.0
1,0.9615334319550808,0.78667439359408,0.8653590476476527,897295.0
accuracy,0.8342539143557819,0.8342539143557819,0.8342539143557819,0.8342539143557819
macro avg,0.8188604074034824,0.86034424193029,0.8249090390663916,1325250.0
weighted avg,0.8693883510692415,0.8342539143557819,0.8392344923978603,1325250.0
