,precision,recall,f1-score,support
0,0.6248544984501633,0.6698297718218037,0.6465609503864271,427955.0
1,0.836930981474728,0.8082002017173839,0.8223147126041863,897295.0
accuracy,0.7635170722505188,0.7635170722505188,0.7635170722505188,0.7635170722505188
macro avg,0.7308927399624456,0.7390149867695939,0.7344378314953067,1325250.0
weighted avg,0.7684464002313569,0.7635170722505188,0.7655596088049776,1325250.0
