,precision,recall,f1-score,support
0,0.5971188000578066,0.7337687373672466,0.6584284481683121,427955.0
1,0.8574668671608966,0.7638769858296324,0.8079707518272741,897295.0
accuracy,0.7541543105074514,0.7541543105074514,0.7541543105074514,0.7541543105074514
macro avg,0.7272928336093516,0.7488228615984395,0.7331995999977932,1325250.0
weighted avg,0.7733942340297116,0.7541543105074514,0.759679956458573,1325250.0
