,Model,Accuracy,F1,Precision,Recall
0,rf,0.5833370848902294,0.6956049859127137,0.5480228591170162,0.9519696734797981
1,nb,0.6989350580490904,0.7300926029731608,0.6617283047396081,0.8142100551618598
2,svm,0.7034094149071864,0.7270102969376222,0.6735382436743956,0.7897047865291038
3,log_reg,0.7059279601034429,0.723094893811437,0.6833329624107004,0.7677700705651715
4,catboost,0.6399030597698044,0.7149873210245324,0.5917040726057469,0.9031641802987642
5,bert,0.8260077932341922,0.8355335325490789,0.7923061402918824,0.883750006251344
