,precision,recall,f1-score,support
0,0.8685230120079864,0.7682424691185079,0.8153107710605401,199877.0
1,0.7923061402918824,0.883750006251344,0.8355335325490789,199957.0
accuracy,0.8260077932341922,0.8260077932341922,0.8260077932341922,0.8260077932341922
macro avg,0.8304145761499344,0.8259962376849259,0.8254221518048095,399834.0
weighted avg,0.8304069512984494,0.8260077932341922,0.8254241749205513,399834.0
