,precision,recall,f1-score,support
0,0.7457524638732692,0.6170795038948954,0.6753415994327437,199877.0
1,0.6735382436743956,0.7897047865291038,0.7270102969376222,199957.0
accuracy,0.7034094149071864,0.7034094149071864,0.7034094149071864,0.7034094149071864
macro avg,0.7096453537738324,0.7033921452119996,0.7011759481851829,399834.0
weighted avg,0.7096381293536782,0.7034094149071864,0.7011811172000746,399834.0
