,precision,recall,f1-score,support
0,0.7349074322511403,0.6440610975750086,0.6864917903403849,199877.0
1,0.6833329624107004,0.7677700705651715,0.723094893811437,199957.0
accuracy,0.7059279601034429,0.7059279601034429,0.7059279601034429,0.7059279601034429
macro avg,0.7091201973309204,0.7059155840700901,0.7047933420759109,399834.0
weighted avg,0.7091150377427072,0.7059279601034429,0.7047970039059175,399834.0
