,precision,recall,f1-score,support
0,0.81702832974528,0.21455695252580337,0.33986353153752885,199877.0
1,0.5480228591170162,0.9519696734797981,0.6956049859127137,199957.0
accuracy,0.5833370848902294,0.5833370848902294,0.5833370848902294,0.5833370848902294
macro avg,0.6825255944311481,0.5832633130028008,0.5177342587251212,399834.0
weighted avg,0.6824986827157233,0.5833370848902294,0.5177698476399585,399834.0
